MRP,Brand,Processor,RAM,RAM Type,Operating System,Storage Type,Warranty,Storage
104990,ASUS,I7,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
54900,DELL,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
85990,ASUS,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,1 
35590,Lenovo,RYZEN,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
136990,Lenovo,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,1 
48184,DELL,RYZEN,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
74990,ASUS,I5,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
60990,acer,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
150990,ASUS,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,1 
36990,Lenovo,I3,8 ,DDR4,WINDOWS,SSD,2 YEAR,256 
49990,HP,RYZEN,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
67990,DELL,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
194990,ASUS,RYZEN,16 ,DDR5,WINDOWS,SSD,1 YEAR,1 
44990,Lenovo,RYZEN,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
58000,Lenovo,I5,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
29990,Infinix,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
114990,ASUS,RYZEN,16 ,DDR5,WINDOWS,SSD,1 YEAR,1 
33990,HP,RYZEN,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
39990,RedmiBook,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
196990,ASUS,RYZEN,16 ,DDR5,WINDOWS,SSD,1 YEAR,1 
64990,ASUS,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
79990,Lenovo,I5,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
38705,Lenovo,RYZEN,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
85990,ASUS,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,1 
28990,Infinix,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
56990,ASUS,RYZEN,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
81990,HP,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
129990,MSI,I7,16 ,DDR4,WINDOWS,SSD,2 YEAR,1 
35590,Lenovo,RYZEN,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
150990,ASUS,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,1 
38990,DELL,RYZEN,8 ,DDR4,WINDOWS,HDD,1 YEAR,1 
79990,HP,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,256 
36990,Lenovo,I3,8 ,DDR4,WINDOWS,SSD,2 YEAR,256 
